Open,High,Low,Close,Volume,op/cl change,daily change,Both going in same direction?,Daily change> cutoff,Same direction + Daily change> cutoff,,
,,,10.46,,,,1917,163,83,,
10.58,10.65,9.94,9.95,9028400,1.147227533,-5.95463138,0,0,0,% cutoff,3
10.1,10.3,9.77,10.12,4790500,1.507537688,0.198019802,1,0,0,,
10.32,11.04,10.27,10.53,4782800,1.976284585,2.034883721,1,0,0,,
10.54,10.83,10,10.08,3314200,0.094966762,-4.364326376,0,0,0,,
10.08,10.15,9.4,9.81,6180200,0,-2.678571429,0,0,0,,
9.51,10.1,9.45,9.99,5275200,-3.058103976,5.047318612,0,1,0,,
10.19,10.46,9.95,10.4,3573900,2.002002002,2.060843965,1,0,0,,
10.7,10.79,9.82,9.89,5080400,2.884615385,-7.570093458,0,0,0,,
10.16,10.25,9.59,10.2,4060200,2.730030334,0.393700787,1,0,0,,
10.13,10.16,9.57,9.63,3834300,-0.68627451,-4.935834156,1,0,0,,
9.84,10.3,9.72,10.23,3419400,2.180685358,3.963414634,1,0,0,,
10.09,10.27,9.91,10.13,2553700,-1.368523949,0.396432111,0,0,0,,
10.12,10.15,9.56,9.97,2908700,-0.098716683,-1.482213439,1,0,0,,
10.04,10.05,9.01,9.19,3763300,0.702106319,-8.466135458,0,0,0,,
9.06,9.49,8.55,8.69,5636900,-1.414581066,-4.08388521,1,0,0,,
8.7,9.3,8.69,8.94,3566000,0.115074799,2.75862069,1,0,0,,
8.95,9.19,8.52,8.59,4811000,0.111856823,-4.022346369,0,0,0,,
8.66,8.68,6.85,7.65,18681100,0.814901048,-11.66281755,0,0,0,,
7.84,8.19,7.67,8.15,6927200,2.483660131,3.954081633,1,0,0,,
7.96,8.61,7.85,8.51,7028100,-2.331288344,6.909547739,0,0,0,,
8.4,8.65,8.06,8.63,5638400,-1.292596945,2.738095238,0,0,0,,
7.3,8.05,7.05,7.49,10389400,-15.41135574,2.602739726,0,1,0,,
7.59,7.75,6.5,7.29,5614100,1.335113485,-3.95256917,0,0,0,,
7.35,7.45,6.64,7.31,9193000,0.823045267,-0.544217687,0,0,0,,
7.11,7.64,7.05,7.48,8319200,-2.735978112,5.203938115,0,0,0,,
6.95,7.72,6.69,7.48,12733800,-7.085561497,7.625899281,0,1,0,,
7.7,7.83,7.31,7.46,4447000,2.941176471,-3.116883117,0,0,0,,
7.49,7.57,7.02,7.09,4610500,0.402144772,-5.340453939,0,0,0,,
7.2,7.23,6,6.35,7291600,1.551480959,-11.80555556,0,0,0,,
6.47,6.64,5.67,6.2,8033900,1.88976378,-4.173106646,0,0,0,,
6.25,6.47,5.83,5.97,6515900,0.806451613,-4.48,0,0,0,,
5.91,6.1,5.51,6.01,7864300,-1.005025126,1.692047377,0,0,0,,
6.17,6.17,5.95,6.08,5386100,2.662229617,-1.458670989,0,0,0,,
6.17,7.21,6.02,6.76,5219200,1.480263158,9.562398703,1,0,0,,
7.09,7.87,6.68,7.04,6129300,4.881656805,-0.705218618,0,1,0,,
6.97,7.9,6.74,7.2,5779300,-0.994318182,3.299856528,0,0,0,,
7.07,7.3,6.91,7.12,3902900,-1.805555556,0.707213579,0,0,0,,
7.11,7.12,6.67,6.91,2714400,-0.140449438,-2.812939522,1,0,0,,
6.9,7.65,6.8,7.26,2992600,-0.1447178,5.217391304,0,0,0,,
7.54,8.16,7.5,7.85,6669700,3.856749311,4.111405836,1,1,1,,
7.76,8.15,7.47,8.07,3580600,-1.146496815,3.994845361,0,0,0,,
8.24,9.2,8.23,8.88,8496100,2.106567534,7.766990291,1,0,0,,
9.23,9.75,9.11,9.56,8242000,3.941441441,3.575297941,1,1,1,,
9.98,9.99,8.85,8.92,8866000,4.393305439,-10.62124248,0,1,0,,
8.91,9.23,8.38,8.47,4284600,-0.112107623,-4.938271605,1,0,0,,
8.49,8.52,7.5,8.01,6697600,0.236127509,-5.653710247,0,0,0,,
8.07,8.86,8.04,8.77,4157900,0.74906367,8.674101611,1,0,0,,
9.25,9.6,8.85,9.55,11251100,5.473204105,3.243243243,1,1,1,,
8.05,8.15,7.4,7.64,26528900,-15.70680628,-5.093167702,1,1,1,,
7.39,7.78,7.15,7.77,8758900,-3.272251309,5.142083897,0,1,0,,
7.63,8.01,7.51,7.56,6038300,-1.801801802,-0.917431193,1,0,0,,
7.61,7.66,7.04,7.05,5073300,0.661375661,-7.358738502,0,0,0,,
7.01,7.03,6.32,6.42,9981000,-0.567375887,-8.416547789,1,0,0,,
6.79,7.02,6.55,6.98,7532100,5.763239875,2.798232695,1,1,1,,
7.08,7.1,6.6,6.95,4895800,1.432664756,-1.836158192,0,0,0,,
6.95,6.95,6.67,6.71,3631800,0,-3.45323741,0,0,0,,
7.1,7.2,6.95,6.99,6028000,5.812220566,-1.549295775,0,1,0,,
7.08,7.13,6.91,7.05,5336700,1.287553648,-0.423728814,0,0,0,,
7.01,7.68,7,7.43,9231800,-0.567375887,5.991440799,0,0,0,,
7.66,7.67,6.74,6.97,9388600,3.095558546,-9.007832898,0,1,0,,
7.06,7.22,6.97,7.12,4252000,1.291248207,0.849858357,1,0,0,,
7.16,7.24,6.8,7.05,3717600,0.561797753,-1.536312849,0,0,0,,
7.44,7.5,7.2,7.29,6063600,5.531914894,-2.016129032,0,1,0,,
7.63,9.54,7.6,9.49,29170400,4.663923182,24.3774574,1,1,1,,
9.22,9.9,8.75,9.05,20750900,-2.845100105,-1.843817787,1,0,0,,
9.21,9.35,8.75,8.95,12943700,1.767955801,-2.823018458,0,0,0,,
9.35,9.5,9,9.19,9897800,4.469273743,-1.711229947,0,1,0,,
9.07,9.3,8.6,8.6,7365400,-1.305767138,-5.181918412,1,0,0,,
8.74,8.97,8.04,8.8,8953200,1.627906977,0.686498856,1,0,0,,
8.9,9.14,8.56,9.08,4038200,1.136363636,2.02247191,1,0,0,,
9.83,12.26,9.8,12.21,48476500,8.259911894,24.21159715,1,1,1,,
12.05,12.25,11.22,11.48,33338900,-1.31040131,-4.730290456,1,0,0,,
11.24,12.4,11.18,11.59,48349800,-2.090592334,3.113879004,0,0,0,,
11.89,11.9,10.79,11.15,20022200,2.588438309,-6.22371741,0,0,0,,
11.3,11.55,10.8,11.32,8647800,1.34529148,0.17699115,1,0,0,,
11.02,11.08,10.48,10.49,9308300,-2.650176678,-4.809437387,1,0,0,,
10.93,12.1,10.71,11.93,14331200,4.194470925,9.149130833,1,1,1,,
12.4,12.8,11.6,11.76,23383700,3.939647946,-5.161290323,0,1,0,,
12.04,12.4,11.85,12.1,12280100,2.380952381,0.49833887,1,0,0,,
12.29,12.3,11.5,11.71,6969400,1.570247934,-4.719283971,0,0,0,,
11.55,12.15,11.44,11.65,8349100,-1.366353544,0.865800866,0,0,0,,
12,12.43,11.78,12.24,13976800,3.004291845,2,1,1,1,,
12.43,12.5,11.63,11.91,8075100,1.552287582,-4.183427192,0,0,0,,
11.54,11.8,10.8,10.89,7746200,-3.106633081,-5.632582322,1,1,1,,
11.1,11.2,10.07,11,9831900,1.928374656,-0.900900901,0,0,0,,
11.1,11.14,10.18,10.81,8214800,0.909090909,-2.612612613,0,0,0,,
11.05,11.36,10.62,10.86,7294100,2.220166512,-1.719457014,0,0,0,,
10.73,11.15,10.51,10.71,6915000,-1.197053407,-0.18639329,1,0,0,,
10.57,10.83,10.1,10.15,7783500,-1.307189542,-3.973509934,1,0,0,,
10.31,11.06,10,10,13237200,1.57635468,-3.006789525,0,0,0,,
10.15,10.22,9.51,9.83,6124100,1.5,-3.15270936,0,0,0,,
10.97,11.29,10.87,11.1,17961500,11.59715158,1.185050137,1,1,1,,
11.33,11.49,10.57,10.6,10478100,2.072072072,-6.443071492,0,0,0,,
10.91,11.08,10.69,10.9,10193000,2.924528302,-0.091659028,0,0,0,,
11.07,11.19,10.63,10.82,5699200,1.559633028,-2.258355917,0,0,0,,
10.94,11,10.49,10.96,6417100,1.109057301,0.182815356,1,0,0,,
11.13,11.94,11.05,11.9,10595700,1.551094891,6.918238994,1,0,0,,
12.02,12.4,11.95,12.25,11531600,1.008403361,1.913477537,1,0,0,,
12.08,12.52,12.08,12.34,11445900,-1.387755102,2.152317881,0,0,0,,
12.25,12.32,11.75,11.85,5811800,-0.729335494,-3.265306122,1,0,0,,
11.96,12.17,11.3,11.53,10806900,0.928270042,-3.595317726,0,0,0,,
11.66,11.67,10.85,11.04,7822300,1.127493495,-5.317324185,0,0,0,,
11.03,11.34,10.93,11.03,4133600,-0.09057971,0,0,0,0,,
10.8,10.83,10.09,10.11,5826100,-2.085222121,-6.388888889,1,0,0,,
10.34,10.42,10.14,10.29,4993900,2.274975272,-0.483558994,0,0,0,,
10.01,10.01,9,9.13,14476200,-2.721088435,-8.791208791,1,0,0,,
9.8,9.85,9.4,9.74,16289900,7.338444688,-0.612244898,0,1,0,,
9.6,10.55,9.39,10.16,10361700,-1.437371663,5.833333333,0,0,0,,
12.75,12.8,12.15,12.6,55722500,25.49212598,-1.176470588,0,1,0,,
12.49,12.6,11.9,12.47,17835400,-0.873015873,-0.160128102,1,0,0,,
12.75,14.06,12.71,14.01,23153800,2.245388933,9.882352941,1,0,0,,
13.56,15.39,13.39,14.44,30161300,-3.211991435,6.489675516,0,1,0,,
14.86,15.77,14.76,15.5,22304500,2.908587258,4.306864065,1,0,0,,
15.54,15.55,13.97,14.22,19933700,0.258064516,-8.494208494,0,0,0,,
13.98,14.25,13.2,13.9,14650400,-1.687763713,-0.572246066,1,0,0,,
14.14,14.49,13.41,14.19,10144000,1.726618705,0.353606789,1,0,0,,
14.07,14.09,13.35,13.73,7629700,-0.845665962,-2.416488984,1,0,0,,
12.91,13.09,12.43,12.53,18911800,-5.972323379,-2.943454686,1,1,1,,
11.98,12.29,11.16,11.5,14174200,-4.389465283,-4.006677796,1,1,1,,
11.9,12,11.15,11.26,8706200,3.47826087,-5.378151261,0,1,0,,
11.25,11.85,11.06,11.24,7113000,-0.088809947,-0.088888889,1,0,0,,
11.51,12.67,11.5,12.52,5930000,2.402135231,8.77497828,1,0,0,,
12.64,13.5,12.54,13.3,9390200,0.958466454,5.221518987,1,0,0,,
13.03,13.24,12.5,12.9,7398900,-2.030075188,-0.997697621,1,0,0,,
13.1,13.33,13.06,13.29,5980200,1.550387597,1.450381679,1,0,0,,
13.34,14.26,13.3,13.88,8805600,0.376222724,4.047976012,1,0,0,,
13.91,14.04,13.27,13.41,7239500,0.216138329,-3.594536305,0,0,0,,
12.95,13.84,12.8,13.01,8101700,-3.430275913,0.463320463,0,1,0,,
13.19,13.4,12.15,12.96,7936800,1.383551115,-1.743745262,0,0,0,,
12.91,13.65,12.9,13.26,8201600,-0.385802469,2.711076685,0,0,0,,
13.05,13.23,12.7,13.07,7640400,-1.583710407,0.153256705,0,0,0,,
